entry_time,exit_time,side,entry_price,exit_price,qty,bars_held,exit_reason,pnl_ticks,gross_pnl_usd,costs_usd,net_pnl_usd
2021-01-05 13:51:00+00:00,2021-01-05 13:54:00+00:00,long,12631.25,12621.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2021-01-05 19:09:00+00:00,2021-01-05 19:30:00+00:00,short,12782.0,12792.25,1,7,stop,-41.0,-205.0,4.5,-209.5
2021-01-07 19:09:00+00:00,2021-01-07 19:18:00+00:00,short,12910.25,12910.5,1,3,stop,-1.0,-5.0,4.5,-9.5
2021-01-11 13:36:00+00:00,2021-01-11 13:39:00+00:00,long,12993.5,12983.25,1,1,stop,-41.0,-205.0,4.5,-209.5
2021-01-12 13:30:00+00:00,2021-01-12 13:42:00+00:00,long,12918.0,12907.75,1,4,stop,-41.0,-205.0,4.5,-209.5
2021-01-19 19:15:00+00:00,2021-01-19 19:24:00+00:00,short,12979.5,12989.75,1,3,stop,-41.0,-205.0,4.5,-209.5
2021-01-19 19:57:00+00:00,2021-01-19 20:00:00+00:00,short,12985.25,12995.5,1,1,stop,-41.0,-205.0,4.5,-209.5
2021-01-20 18:27:00+00:00,2021-01-20 18:30:00+00:00,short,13276.75,13287.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2021-01-20 19:51:00+00:00,2021-01-20 20:06:00+00:00,short,13306.0,13316.5,1,5,stop,-42.0,-210.0,4.5,-214.5
2021-01-21 19:27:00+00:00,2021-01-21 19:33:00+00:00,short,13391.75,13402.0,1,2,stop,-41.0,-205.0,4.5,-209.5
2021-01-25 14:39:00+00:00,2021-01-25 14:45:00+00:00,short,13540.0,13540.25,1,2,stop,-1.0,-5.0,4.5,-9.5
2021-01-29 17:51:00+00:00,2021-01-29 17:54:00+00:00,long,12905.25,12905.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-02-01 19:03:00+00:00,2021-02-01 19:06:00+00:00,short,13241.0,13251.25,1,1,stop,-41.0,-205.0,4.5,-209.5
2021-02-01 19:36:00+00:00,2021-02-01 19:39:00+00:00,short,13240.75,13251.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2021-02-01 19:54:00+00:00,2021-02-01 20:00:00+00:00,short,13244.0,13254.25,1,2,stop,-41.0,-205.0,4.5,-209.5
2021-02-02 17:51:00+00:00,2021-02-02 18:00:00+00:00,short,13452.0,13462.25,1,3,stop,-41.0,-205.0,4.5,-209.5
2021-02-04 18:42:00+00:00,2021-02-04 19:24:00+00:00,short,13496.5,13496.75,1,14,stop,-1.0,-5.0,4.5,-9.5
2021-02-05 14:45:00+00:00,2021-02-05 14:48:00+00:00,long,13575.0,13574.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-02-10 15:00:00+00:00,2021-02-10 15:06:00+00:00,long,13749.25,13739.0,1,2,stop,-41.0,-205.0,4.5,-209.5
2021-02-10 15:33:00+00:00,2021-02-10 15:36:00+00:00,long,13617.25,13617.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-02-25 16:51:00+00:00,2021-02-25 16:54:00+00:00,long,13043.25,13033.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2021-03-01 17:15:00+00:00,2021-03-01 17:18:00+00:00,short,13199.5,13199.75,1,1,stop,-1.0,-5.0,4.5,-9.5
