entry_time,exit_time,side,entry_price,exit_price,qty,bars_held,exit_reason,pnl_ticks,gross_pnl_usd,costs_usd,net_pnl_usd
2021-01-05 15:15:00+00:00,2021-01-05 15:18:00+00:00,short,12754.0,12754.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-01-05 15:42:00+00:00,2021-01-05 15:45:00+00:00,short,12721.25,12731.5,1,1,stop,-41.0,-205.0,4.5,-209.5
2021-01-05 16:09:00+00:00,2021-01-05 16:12:00+00:00,short,12712.0,12722.25,1,1,stop,-41.0,-205.0,4.5,-209.5
2021-01-06 19:54:00+00:00,2021-01-06 19:57:00+00:00,long,12688.75,12678.5,1,1,stop,-41.0,-205.0,4.5,-209.5
2021-01-08 18:27:00+00:00,2021-01-08 18:30:00+00:00,long,12992.0,12981.75,1,1,stop,-41.0,-205.0,4.5,-209.5
2021-01-11 17:57:00+00:00,2021-01-11 18:09:00+00:00,short,12994.25,13004.5,1,4,stop,-41.0,-205.0,4.5,-209.5
2021-01-11 18:24:00+00:00,2021-01-11 18:30:00+00:00,short,12970.75,12971.0,1,2,stop,-1.0,-5.0,4.5,-9.5
2021-01-13 15:00:00+00:00,2021-01-13 15:03:00+00:00,short,12889.0,12889.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-01-13 16:12:00+00:00,2021-01-13 16:15:00+00:00,short,12961.0,12961.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-01-13 17:33:00+00:00,2021-01-13 17:39:00+00:00,short,12943.75,12954.0,1,2,stop,-41.0,-205.0,4.5,-209.5
2021-01-14 13:51:00+00:00,2021-01-14 14:12:00+00:00,short,12978.0,12988.25,1,7,stop,-41.0,-205.0,4.5,-209.5
2021-01-14 14:36:00+00:00,2021-01-14 14:39:00+00:00,short,12988.5,12988.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-01-14 15:09:00+00:00,2021-01-14 15:15:00+00:00,short,12986.0,12996.25,1,2,stop,-41.0,-205.0,4.5,-209.5
2021-01-14 16:18:00+00:00,2021-01-14 16:24:00+00:00,short,12995.5,12995.75,1,2,stop,-1.0,-5.0,4.5,-9.5
2021-01-14 19:57:00+00:00,2021-01-14 20:06:00+00:00,long,12950.0,12939.5,1,3,stop,-42.0,-210.0,4.5,-214.5
2021-01-19 19:00:00+00:00,2021-01-19 19:21:00+00:00,short,12985.75,12986.0,1,7,stop,-1.0,-5.0,4.5,-9.5
2021-01-19 19:57:00+00:00,2021-01-19 20:00:00+00:00,short,12985.25,12995.5,1,1,stop,-41.0,-205.0,4.5,-209.5
2021-01-21 13:33:00+00:00,2021-01-21 13:42:00+00:00,long,13361.75,13351.5,1,3,stop,-41.0,-205.0,4.5,-209.5
2021-01-21 14:36:00+00:00,2021-01-21 14:39:00+00:00,long,13327.75,13317.5,1,1,stop,-41.0,-205.0,4.5,-209.5
2021-01-22 17:03:00+00:00,2021-01-22 17:12:00+00:00,short,13358.5,13368.75,1,3,stop,-41.0,-205.0,4.5,-209.5
2021-01-22 17:54:00+00:00,2021-01-22 18:06:00+00:00,short,13358.0,13358.25,1,4,stop,-1.0,-5.0,4.5,-9.5
2021-01-25 13:48:00+00:00,2021-01-25 14:30:00+00:00,long,13489.75,13509.5,1,14,target,79.0,395.0,4.5,390.5
